214	#ffaf00	255,175,0	41,100,50	Orange1
215	#ffaf5f	255,175,95	30,100,68	SandyBrown
216	#ffaf87	255,175,135	20,100,76	LightSalmon1
217	#ffafaf	255,175,175	0,100,84	LightPink1
218	#ffafd7	255,175,215	330,100,84	Pink1
219	#ffafff	255,175,255	300,100,84	Plum1
220	#ffd700	255,215,0	51,100,50	Gold1
221	#ffd75f	255,215,95	45,100,68	LightGoldenrod2
222	#ffd787	255,215,135	40,100,76	LightGoldenrod2
223	#ffd7af	255,215,175	30,100,84	NavajoWhite1
224	#ffd7d7	255,215,215	0,100,92	MistyRose1
225	#ffd7ff	255,215,255	300,100,92	Thistle1
226	#ffff00	255,255,0	60,100,50	Yellow1
227	#ffff5f	255,255,95	60,100,68	LightGoldenrod1
228	#ffff87	255,255,135	60,100,76	Khaki1
229	#ffffaf	255,255,175	60,100,84	Wheat1
230	#ffffd7	255,255,215	60,100,92	Cornsilk1
231	#ffffff	255,255,255	0,0,100	Grey100
232	#080808	8,8,8	0,0,3	Grey3
233	#121212	18,18,18	0,0,7	Grey7
234	#1c1c1c	28,28,28	0,0,10	Grey11
235	#262626	38,38,38	0,0,14	Grey15
236	#303030	48,48,48	0,0,18	Grey19
237	#3a3a3a	58,58,58	0,0,22	Grey23
238	#444444	68,68,68	0,0,26	Grey27
239	#4e4e4e	78,78,78	0,0,30	Grey30
240	#585858	88,88,88	0,0,34	Grey35
241	#626262	98,98,98	0,0,37	Grey39
242	#6c6c6c	108,108,108	0,0,40	Grey42
243	#767676	118,118,118	0,0,46	Grey46
244	#808080	128,128,128	0,0,50	Grey50
245	#8a8a8a	138,138,138	0,0,54	Grey54
246	#949494	148,148,148	0,0,58	Grey58
247	#9e9e9e	158,158,158	0,0,61	Grey62
248	#a8a8a8	168,168,168	0,0,65	Grey66
249	#b2b2b2	178,178,178	0,0,69	Grey70
250	#bcbcbc	188,188,188	0,0,73	Grey74
251	#c6c6c6	198,198,198	0,0,77	Grey78
252	#d0d0d0	208,208,208	0,0,81	Grey82
253	#dadada	218,218,218	0,0,85	Grey85
254	#e4e4e4	228,228,228	0,0,89	Grey89
255	#eeeeee	238,238,238	0,0,93	Grey93
